date,close,pair_value,total_value,hold_value_compare,hold_strategy_value,amount0,amount1,cumulative_feeV,IL_change,impermanent_loss
2023-08-01,1872.3916421555848,10091.98581811228,10084.748339570304,10088.108237401202,10091.821479759577,0.0,5.3898904432696115,7.302521458023929,3.877580711077826,3.877580711077826
2023-08-02,1838.8154046711336,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-03,1835.2257887976168,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-04,1827.327419951728,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-05,1835.424738005704,10091.98581811228,10084.748339570304,,10091.821479759577,,,,,
2023-08-06,1828.127808441364,10060.796319697754,10063.984259777613,10064.81298721994,10051.597371930839,2982.7221569100557,3.871761115445404,17.72794007986041,-4.016667522186253,-4.016667522186253
2023-08-07,1826.0277977240812,10060.796319697754,10063.984259777613,,10051.597371930839,,,,,
2023-08-08,1855.7030481993415,10186.633844342794,10219.276641538092,10227.519542701719,10214.931373418458,6762.908147927318,1.8449749811736555,47.18279719529845,-40.885698358924856,-40.885698358924856
2023-08-09,1854.2677199645173,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-10,1850.366443820987,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-11,1847.15358748468,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-12,1848.3160252567905,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-13,1839.2931608227527,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-14,1843.3940192812167,10186.633844342794,10219.276641538092,,10214.931373418458,,,,,
2023-08-15,1826.9112512851543,10182.674646656988,10195.634102103928,10202.95470103487,10123.595869538196,3235.3422879769882,3.8027749589876607,27.499455446940882,-20.28005437788306,-20.28005437788306
2023-08-16,1805.7228529285248,10157.257048550757,10178.982618366455,10190.563994327393,10006.276318507771,4949.935810267861,2.8837876365343953,36.26556981569902,-33.306945776635985,-33.306945776635985
2023-08-17,1682.6545058833156,10160.34253356832,10269.9231543252,10178.982618366455,9324.290994749028,8444.679758233662,1.0196167836807442,124.12062075688053,-18.64008479813492,-18.64008479813492
2023-08-18,1660.7446292262268,10229.873514010022,10365.269423133968,10269.9231543252,9202.893040936342,4124.760278495474,3.6761300491810345,149.93590912394765,-40.049640315179204,-40.049640315179204
2023-08-19,1669.3063155617274,10229.873514010022,10365.269423133968,,9202.893040936342,,,,,
2023-08-20,1684.6107230081498,10420.159560874265,10455.20339466192,10441.713706942142,9287.284042056124,6316.166380305838,2.4361670767713455,49.583833787656154,-21.55414606787781,-21.55414606787781
2023-08-21,1667.9126509758016,10411.823530935988,10458.105117631554,10437.621333574523,9195.38690533245,3348.513836808498,4.23481990498432,60.82158669556683,-25.79780263853536,-25.79780263853536
2023-08-22,1633.2672842733264,10422.051141609036,10482.42326096573,10458.105117631556,9004.39954420354,0.0,6.381105678147479,74.91211935669446,-36.053976022520146,-36.053976022520146
2023-08-23,1678.468303582364,10724.682000235009,10765.800426497353,10772.50219072263,9253.57728849598,6314.970991322834,2.6272232841695637,55.658426262344854,-47.82019048762049,-47.82019048762049
2023-08-24,1659.5340154950177,10721.293371566293,10745.652579008007,10752.615364557176,9148.351456233595,1417.3153204842524,5.606379841697178,38.89920744171457,-31.32199299088279,-31.32199299088279
2023-08-25,1652.4923832797772,10718.288335785326,10768.18477070491,10723.635524410283,9107.633677332735,3411.183515994057,4.4218689863420275,64.43643491958368,-5.347188624957198,-5.347188624957198
2023-08-26,1645.2517692608835,10741.491470097266,10740.00660485516,10745.941035088405,9067.74056500322,4216.145462654618,3.9661686614530183,13.055134757895074,-4.449564991138686,-4.449564991138686
2023-08-27,1657.7280843701717,10741.491470097266,10740.00660485516,,9067.74056500322,,,,,
2023-08-28,1652.626362866874,10741.491470097266,10740.00660485516,,9067.74056500322,,,,,
2023-08-29,1728.897888790749,11192.47434820548,11276.224130731785,11235.665078252621,9486.222844481701,7054.368149991045,2.3934936962117352,98.28978252630661,-43.19073004714119,-43.19073004714119
2023-08-30,1705.503552260066,11231.082201913543,11279.679951258398,11276.224130731785,9357.859845663783,2913.4543863132585,4.876933738764772,63.137749344857156,-45.14192881824238,-45.14192881824238
2023-08-31,1645.3866526074555,11234.857639513195,11292.735956039605,11279.6799512584,9028.012457003446,5063.908475162289,3.750455344080834,72.41831652641186,-44.8223117452053,-44.8223117452053
2023-09-01,1628.7830151183496,11249.671285980852,11321.40395719588,11278.702904656886,8935.893988557984,3275.3402733298994,4.895882962084748,86.2726712150283,-29.03161867603376,-29.03161867603376
2023-09-02,1636.2405698871755,11249.671285980852,11321.40395719588,,8935.893988557984,,,,,
2023-09-03,1635.8832779995937,11249.671285980852,11321.40395719588,,8935.893988557984,,,,,
2023-09-04,1630.0231921155978,11249.671285980852,11321.40395719588,,8935.893988557984,,,,,
2023-09-05,1632.7160277000448,11249.671285980852,11321.40395719588,,8935.893988557984,,,,,
2023-09-06,1632.730954284782,11249.671285980852,11321.40395719588,,8935.893988557984,,,,,
2023-09-07,1646.488102133744,11373.132224288474,11405.894045849334,11391.84128846107,9011.31144979031,9035.572254521154,1.4197247867980283,47.301821560861185,-18.70906417259539,-18.70906417259539
2023-09-08,1636.5349367047197,11373.132224288474,11405.894045849334,,9011.31144979031,,,,,
2023-09-09,1634.948491543056,11373.132224288474,11405.894045849334,,9011.31144979031,,,,,
2023-09-10,1617.1751049965842,11358.996923170527,11399.237363915354,11392.385496332941,8913.34975268413,4770.327233493937,4.07418446482362,54.78044074482831,-33.388573162414104,-33.388573162414104
2023-09-11,1550.8273201013053,11355.635366421775,11544.24364316797,11399.237363915354,8547.636254473566,2894.649063785967,5.4557887863899035,203.1482767461974,-43.60199749357889,-43.60199749357889
2023-09-12,1592.087811511473,11804.813240842104,11875.732654484777,11851.423548650539,8775.079660720665,9360.007277724177,1.5355974371771075,85.45941364267301,-46.6103078084343,-46.6103078084343
2023-09-13,1607.0719214744072,11939.592925120418,12029.644966955491,11965.856552018236,8857.662371739867,7887.934462919263,2.5211432096231032,104.59204183507453,-26.26362689781854,-26.26362689781854
2023-09-14,1626.5954730789024,12123.6059792062,12185.205288739962,12166.510764949846,8965.26431188798,9387.992557734227,1.6818031691025586,76.13930953376273,-42.904785743645334,-42.904785743645334
2023-09-15,1641.9835221998642,12255.08269939927,12291.332316571066,12277.837019276463,9050.078465201761,10510.86723844071,1.0622612452418103,50.78961717179639,-22.754319877192756,-22.754319877192756
2023-09-16,1634.1829556014336,12255.08269939927,12291.332316571066,,9050.078465201761,,,,,
2023-09-17,1622.7358112321424,12249.322596452164,12260.012827397517,12263.728744821277,8986.713760394756,3064.038222034982,5.660369550507918,25.230230945353227,-14.406148369112998,-14.406148369112998
2023-09-18,1636.997646219612,12249.322596452164,12260.012827397517,,8986.713760394756,,,,,
2023-09-19,1643.7151647409771,12281.627336489786,12346.03150684486,12286.551209866902,9023.589777910865,7768.768794095359,2.745523457591012,78.94417035507433,-4.9238733771162515,-4.9238733771162515
2023-09-20,1622.854995046432,12289.28955393027,12342.941014663964,12339.548921441576,8909.071987080206,4000.8069872921524,5.107346369168968,68.19146073369446,-50.259367511305754,-50.259367511305754
2023-09-21,1583.968172443826,12294.597008466386,12347.260362790701,12342.941014663964,8695.584359691326,5030.431198975289,4.586055411885945,67.20335432431622,-48.34400619757798,-48.34400619757798
2023-09-22,1593.5317043586467,12294.597008466386,12347.260362790701,,8695.584359691326,,,,,
2023-09-23,1593.041691771812,12294.597008466386,12347.260362790701,,8695.584359691326,,,,,
2023-09-24,1580.3612138974345,12294.597008466386,12347.260362790701,,8695.584359691326,,,,,
2023-09-25,1588.685001442662,12294.597008466386,12347.260362790701,,8695.584359691326,,,,,
2023-09-26,1592.9120174907043,12294.597008466386,12347.260362790701,,8695.584359691326,,,,,
2023-09-27,1597.5674294011735,12294.597008466386,12347.260362790701,,8695.584359691326,,,,,
2023-09-28,1652.9708930295174,12726.431462126471,12783.105053650792,12775.458987166834,8997.144151221055,6944.04531405729,3.4981778399445322,71.21359152432171,-49.02752504036289,-49.02752504036289
2023-09-29,1667.7453047654044,12851.435167376325,12923.734152265848,12876.756620553388,9077.561485063905,7535.1123480982615,3.1877306469322613,86.8389848895234,-25.321453177062722,-25.321453177062722
2023-09-30,1670.9357148749175,12851.435167376325,12923.734152265848,,9077.561485063905,,,,,
2023-10-01,1732.493173630254,13348.087214970283,13369.3859538632,13399.855766789633,9411.986750957336,9060.070133266252,2.4750556867816975,35.83873889291783,-51.76855181935025,-51.76855181935025
2023-10-02,1663.458357551686,13313.62595051929,13386.419818523182,13369.3859538632,9032.322788312345,3590.8058392999033,5.844943498032403,87.33386800389277,-55.760003343910284,-55.760003343910284
2023-10-03,1656.9713600786015,13356.578691575009,13422.986766782506,13361.691420165589,8997.094256541457,4386.756949290486,5.413383694126749,80.94807520749787,-5.112728590580446,-5.112728590580446
2023-10-04,1646.354469929559,13379.51327197369,13434.697471394966,13392.352330385525,8939.447461473485,5492.970611472616,4.790306586186454,69.72419942127603,-12.83905841183514,-12.83905841183514
2023-10-05,1612.2594256214225,13376.935271970571,13405.263184551415,13434.697471394964,8754.112671552748,6202.1496058015655,4.4501434149802455,42.86791258084469,-57.76219942439275,-57.76219942439275
2023-10-06,1645.2038584013703,13621.331729136764,13696.483806995177,13681.876338220203,8934.7508791219,9691.724595819784,2.388522925745715,89.69207785841328,-60.544609083439354,-60.544609083439354
2023-10-07,1635.2573883403586,13621.331729136764,13696.483806995177,,8934.7508791219,,,,,
2023-10-08,1633.3529138600584,13621.331729136764,13696.483806995177,,8934.7508791219,,,,,
2023-10-09,1579.5399710165552,13642.753437556174,13721.487384627737,13696.483806995178,8640.379173096713,4482.16078910548,5.799532026122231,93.27394707156448,-53.73036943900479,-53.73036943900479
2023-10-10,1566.915612456225,13675.412181074516,13748.441309428936,13696.511205170707,8571.317896022189,6241.598693790587,4.744233466173092,87.56912835441963,-21.099024096190988,-21.099024096190988
2023-10-11,1565.623497845669,13675.412181074516,13748.441309428936,,8571.317896022189,,,,,
2023-10-12,1538.774881496915,13694.000765806104,13758.57949028264,13748.441309428938,8424.263135448015,5049.468878532088,5.617801532388315,79.11872447653609,-54.4405436228335,-54.4405436228335
2023-10-13,1551.1262343720443,13694.000765806104,13758.57949028264,,8424.263135448015,,,,,
2023-10-14,1555.6530243773404,13775.31299834551,13787.579083474153,13778.23358309626,8448.851470030564,9169.845725434852,2.960472033764742,26.806085128643737,-2.9205847507510043,-2.9205847507510043
2023-10-15,1557.0663551163366,13775.31299834551,13787.579083474153,,8448.851470030564,,,,,
2023-10-16,1601.0235265964195,14116.02550261238,14254.35126404396,14176.799745430017,8687.360895218457,10268.23224975773,2.4033333607748966,152.86576143158177,-60.77424281763706,-60.77424281763706
2023-10-17,1565.1944669220088,14192.293694624334,14260.942824375396,14254.35126404396,8492.893066198398,3360.5659700541532,6.920371847385216,83.18912975106245,-62.057569419626816,-62.057569419626816
2023-10-18,1563.9342706613354,14192.293694624334,14260.942824375396,,8492.893066198398,,,,,
2023-10-19,1566.9985679091596,14192.293694624334,14260.942824375396,,8492.893066198398,,,,,
2023-10-20,1604.8334134623665,14546.088949216699,14641.692715679948,14605.27016925538,8697.95211144156,10903.862001086563,2.26953583940664,110.14376646325061,-59.181220038681204,-59.181220038681204
2023-10-21,1628.888888769354,14804.608049044831,14861.609240202008,14861.154022935143,8828.323918710526,10207.200330181568,2.82241947290626,71.54119115717735,-56.54597389031187,-56.54597389031187
2023-10-22,1663.3999845592627,15119.660189545702,15131.504543503464,15176.479752785568,9015.368190472063,11288.407238996884,2.3032661934068446,26.384353957763558,-56.8195632398656,-56.8195632398656
2023-10-23,1765.6722768738675,16019.079817335112,16099.945439374966,16058.5004413647,9567.673435879029,16019.079817335112,0.0,95.40562203985509,-39.420624029588,-39.420624029588
2023-10-24,1784.390817906963,16213.113558106448,16430.856741604406,16249.899586618867,9667.092768652421,13332.015245795872,1.6146117114018883,232.28318349796058,-36.78602851241885,-36.78602851241885
2023-10-25,1786.5148196819157,16213.113558106448,16430.856741604406,,9667.092768652421,,,,,
2023-10-26,1802.9206196036648,16519.376984377217,16657.381311828707,16549.583752833136,9753.783318067382,12720.329365481011,2.10716299851923,152.54432745149194,-30.20676845591879,-30.20676845591879
2023-10-27,1780.364054565655,16585.867294317333,16721.988212607343,16650.14255827139,9631.768604938243,3941.344824104887,7.10221172899228,150.66091829000985,-64.27526395405584,-64.27526395405584
2023-10-28,1776.330628065306,16585.867294317333,16721.988212607343,,9631.768604938243,,,,,
2023-10-29,1795.2195860745253,16585.867294317333,16721.988212607343,,9631.768604938243,,,,,
2023-10-30,1809.6359350587336,16791.309184761398,16912.572921190145,16818.224585859254,9709.106138457271,11589.425787634102,2.8745469165091846,135.8037364287488,-26.915401097856375,-26.915401097856375
2023-10-31,1816.1508154591895,16942.177030834217,17067.49533977737,16942.980614687847,9743.95816594161,8674.370892407796,4.552378617486134,139.85830894315686,-0.8035838536306983,-0.8035838536306983
2023-11-01,1846.249689583739,17276.540418660414,17388.151393578584,17350.755656486515,9905.673556579666,9787.743301815006,4.056221192125891,126.15097491817113,-74.21523782610166,-74.21523782610166
2023-11-02,1800.035082204853,17312.06572431903,17391.793938160725,17388.151393578584,9653.8022422881,4289.879400586659,7.234406958214151,94.26821384169784,-76.08566925955529,-76.08566925955529
2023-11-03,1833.0470836636,17634.501190997125,17695.89457782397,17710.749394382714,9830.847399873006,10685.411435325159,3.791004506978207,75.9333868268435,-76.24820338558857,-76.24820338558857
2023-11-04,1857.5237792418943,17856.739817444402,17924.026225380516,17932.111602240355,9962.076341709024,11809.352908526118,3.255617492760382,81.82640793611463,-75.37178479595241,-75.37178479595241
2023-11-05,1894.3373742872127,18213.973012475075,18421.820500583355,18279.19012992795,10159.474509198364,8044.376668671358,5.368418784235969,222.38748810828073,-65.21711745287394,-65.21711745287394
2023-11-06,1900.4232815083164,18451.38242018612,18658.78677277929,18455.395600792646,10193.378720241872,12880.508644991736,2.9313857756851553,221.94435259316975,-4.013180606525566,-4.013180606525566
2023-11-07,1886.813738764894,18451.38242018612,18658.78677277929,,10193.378720241872,,,,,
2023-11-08,1889.660621953325,18451.38242018612,18658.78677277929,,10193.378720241872,,,,,
2023-11-09,2121.6940328451647,20949.899757821564,20992.64906271303,20949.899757821564,11445.023997708166,0.0,9.874138039464633,57.28930489146626,0.0,0.0
2023-11-10,2079.006712352355,20911.206043583108,21179.16494567402,20992.649062713033,11214.690714623133,10169.280661112325,5.166854593901964,282.49890209091285,-81.44301912992523,-81.44301912992523
2023-11-11,2052.789651232248,21097.81921774284,21345.794456095646,21174.411770213657,11073.2637142754,3089.2230728924765,8.77274304945963,262.51523835280886,-76.59255247081819,-76.59255247081819
2023-11-12,2046.0399419977975,21097.81921774284,21345.794456095646,,11073.2637142754,,,,,
2023-11-13,2055.270282260046,21393.883929121464,21604.822605018024,21402.539270683403,11123.247566131513,15783.920320843918,2.729550296474213,225.47867589656178,-8.655341561938258,-8.655341561938258
